,title,rating,year,actors,runtime,url
75,Vuk,8.3,1981,Judit Pogány;József Gyabronka;Teri Földi;Gyula Szabó,79,https://www.imdb.com//title/tt0131636/
73,Indiana Jones and the Raiders of the Lost Ark,8.4,1981,Harrison Ford;Karen Allen;Paul Freeman;John Rhys-Davies,115,https://www.imdb.com//title/tt0082971/
78,Pink Floyd: The Wall,8.0,1982,Bob Geldof;Christine Hargreaves;James Laurenson;Eleanor David,95,https://www.imdb.com//title/tt0084503/
80,Gandhi,8.0,1982,Ben Kingsley;John Gielgud;Rohini Hattangadi;Roshan Seth,191,https://www.imdb.com//title/tt0083987/
76,Çiçek Abbas,8.1,1982,Ilyas Salman;Sener Sen;Aysen Gruda;Pembe Mutlu,87,https://www.imdb.com//title/tt0263208/
81,Fanny och Alexander,8.1,1982,Bertil Guve;Pernilla Allwin;Kristina Adolphson;Börje Ahlstedt,188,https://www.imdb.com//title/tt0083922/
82,Blade Runner,8.1,1982,Harrison Ford;Rutger Hauer;Sean Young;Edward James Olmos,117,https://www.imdb.com//title/tt0083658/
86,Tokatçi,7.8,1983,Kemal Sunal;Nazan Saatçi;Sevket Altug;Ali Sen,83,https://www.imdb.com//title/tt0253822/
88,A Christmas Story,7.9,1983,Peter Billingsley;Melinda Dillon;Darren McGavin;Scott Schwartz,93,https://www.imdb.com//title/tt0085334/
89,Narayama bushikô,7.9,1983,Ken Ogata;Sumiko Sakamoto;Tonpei Hidari;Aki Takejô,130,https://www.imdb.com//title/tt0084390/
90,El sur,7.9,1983,Omero Antonutti;Sonsoles Aranguren;Icíar Bollaín;Lola Cardona,95,https://www.imdb.com//title/tt0084740/
92,Hadashi no Gen,8.0,1983,Issei Miyazaki;Catherine Battistone;Yoshie Shimamura;Iona Morris,83,https://www.imdb.com//title/tt0085218/
96,This Is Spinal Tap,7.9,1984,Rob Reiner;Michael McKean;Christopher Guest;Kimberly Stringer,82,https://www.imdb.com//title/tt0088258/
98,De uitroeier,8.0,1984,Arnold Schwarzenegger;Linda Hamilton;Michael Biehn;Paul Winfield,107,https://www.imdb.com//title/tt0088247/
97,"Paris, Texas",8.1,1984,Harry Dean Stanton;Nastassja Kinski;Dean Stockwell;Sam Berry,145,https://www.imdb.com//title/tt0087884/
99,Namuslu,8.1,1984,Sener Sen;Adile Nasit;Aysen Gruda;Erdal Özyagcilar,93,https://www.imdb.com//title/tt0263776/
100,Kaze no tani no Naushika,8.1,1984,Sumi Shimamoto;Mahito Tsujimura;Hisako Kyôda;Gorô Naya,117,https://www.imdb.com//title/tt0087544/
