,Unnamed: 0,title,rating,year,actors,languages,runtime,url
16,68,'Breaker' Morant,7.9,1980,Edward Woodward;Jack Thompson;John Waters;Bryan Brown,English;Afrikaans,107,https://www.imdb.com//title/tt0080310/
17,69,Le roi et l'oiseau,7.9,1980,Jean Martin;Pascal Mazzotti;Raymond Bussières;Agnès Viala,French,83,https://www.imdb.com//title/tt0079820/
18,71,Davaro: Son Eskiya,8.1,1981,Kemal Sunal;Sener Sen;Pembe Mutlu;Aysen Gruda,Turkish,94,https://www.imdb.com//title/tt0252361/
19,72,Mis,8.2,1981,Stanislaw Tym;Barbara Burska;Christine Paul;Krzysztof Kowalewski,Polish;English,111,https://www.imdb.com//title/tt0082755/
20,74,Das Boot,8.3,1981,Jürgen Prochnow;Herbert Grönemeyer;Klaus Wennemann;Hubertus Bengsch,German,149,https://www.imdb.com//title/tt0082096/
23,76,Çiçek Abbas,8.1,1982,Ilyas Salman;Sener Sen;Aysen Gruda;Pembe Mutlu,Turkish,87,https://www.imdb.com//title/tt0263208/
22,80,Gandhi,8.0,1982,Ben Kingsley;John Gielgud;Rohini Hattangadi;Roshan Seth,English;Hindi,191,https://www.imdb.com//title/tt0083987/
21,78,Pink Floyd: The Wall,8.0,1982,Bob Geldof;Christine Hargreaves;James Laurenson;Eleanor David,English,95,https://www.imdb.com//title/tt0084503/
24,86,Tokatçi,7.8,1983,Kemal Sunal;Nazan Saatçi;Sevket Altug;Ali Sen,Turkish,83,https://www.imdb.com//title/tt0253822/
25,88,A Christmas Story,7.9,1983,Peter Billingsley;Melinda Dillon;Darren McGavin;Scott Schwartz,English,93,https://www.imdb.com//title/tt0085334/
26,89,Narayama bushikô,7.9,1983,Ken Ogata;Sumiko Sakamoto;Tonpei Hidari;Aki Takejô,Japanese,130,https://www.imdb.com//title/tt0084390/
27,96,This Is Spinal Tap,7.9,1984,Rob Reiner;Michael McKean;Christopher Guest;Kimberly Stringer,English,82,https://www.imdb.com//title/tt0088258/
28,98,De uitroeier,8.0,1984,Arnold Schwarzenegger;Linda Hamilton;Michael Biehn;Paul Winfield,English;Spanish,107,https://www.imdb.com//title/tt0088247/
29,97,"Paris, Texas",8.1,1984,Harry Dean Stanton;Nastassja Kinski;Dean Stockwell;Sam Berry,English;Spanish,145,https://www.imdb.com//title/tt0087884/
30,106,Brazil,7.9,1985,Jonathan Pryce;Kim Greist;Robert De Niro;Katherine Helmond,English,132,https://www.imdb.com//title/tt0088846/
31,111,Tampopo,8.0,1985,Ken Watanabe;Tsutomu Yamazaki;Nobuko Miyamoto;Kôji Yakusho,Japanese,114,https://www.imdb.com//title/tt0092048/
32,112,Mishima: A Life in Four Chapters,8.0,1985,Ken Ogata;Masayuki Shionoya;Hiroshi Mikami;Junya Fukuda,Japanese;English,120,https://www.imdb.com//title/tt0089603/
35,117,Kin-dza-dza!,8.0,1986,Stanislav Lyubshin;Evgeniy Leonov;Yuriy Yakovlev;Levan Gabriadze,Georgian;Russian;French;English,135,https://www.imdb.com//title/tt0091341/
34,114,Jean de Florette,8.0,1986,Yves Montand;Gérard Depardieu;Daniel Auteuil;Elisabeth Depardieu,French,120,https://www.imdb.com//title/tt0091288/
33,121,Hannah and Her Sisters,7.9,1986,Mia Farrow;Dianne Wiest;Michael Caine;Barbara Hershey,English,107,https://www.imdb.com//title/tt0091167/
36,129,The Untouchables,7.9,1987,Kevin Costner;Sean Connery;Robert De Niro;Charles Martin Smith,English,119,https://www.imdb.com//title/tt0094226/
