title,rating,year,actors,runtime,languages,url
Zoku Miyamoto Musashi: Ichijôji no kettô,7.3,1955,Toshirô Mifune;Mariko Okada;Kôji Tsuruta;Kaoru Yachigusa,104,Japanese,https://www.imdb.com//title/tt0048579/
The Man with the Golden Arm,7.3,1955,Frank Sinatra;Kim Novak;Eleanor Parker;Arnold Stang,119,English,https://www.imdb.com//title/tt0048347/
Mr. Arkadin,7.2,1955,Orson Welles;Peter van Eyck;Michael Redgrave;Patricia Medina,93,English;German;French;Polish;Latin,https://www.imdb.com//title/tt0048393/
De man uit Laramie,7.3,1955,James Stewart;Arthur Kennedy;Donald Crisp;Cathy O'Donnell,103,English,https://www.imdb.com//title/tt0048342/
Het duivelscomplot,7.3,1955,Cornel Wilde;Richard Conte;Jean Wallace;Brian Donlevy,87,English;Swedish;Latin;German,https://www.imdb.com//title/tt0047878/
Moby Dick,7.3,1956,Gregory Peck;Richard Basehart;Leo Genn;James Robertson Justice,116,English,https://www.imdb.com//title/tt0049513/
Friendly Persuasion,7.3,1956,Gary Cooper;Dorothy McGuire;Anthony Perkins;Richard Eyer,137,English,https://www.imdb.com//title/tt0049233/
Baby Doll,7.3,1956,Karl Malden;Carroll Baker;Eli Wallach;Mildred Dunnock,114,English;Italian,https://www.imdb.com//title/tt0048973/
Het leven van Vincent van Gogh,7.3,1956,Kirk Douglas;Anthony Quinn;James Donald;Pamela Brown,122,English,https://www.imdb.com//title/tt0049456/
The King and I,7.4,1956,Yul Brynner;Deborah Kerr;Rita Moreno;Martin Benson,133,English;Thai,https://www.imdb.com//title/tt0049408/
De ontembaren,7.2,1957,Burt Lancaster;Kirk Douglas;Rhonda Fleming;Jo Van Fleet,122,English,https://www.imdb.com//title/tt0050468/
Ariane,7.2,1957,Gary Cooper;Audrey Hepburn;Maurice Chevalier;John McGiver,130,English;French,https://www.imdb.com//title/tt0050658/
Desk Set,7.2,1957,Spencer Tracy;Katharine Hepburn;Gig Young;Joan Blondell,103,English,https://www.imdb.com//title/tt0050307/
