title,rating,year,actors,runtime,languages,url
11:14,7.2,2003,Henry Thomas;Colin Hanks;Ben Foster;Patrick Swayze,86,English,https://www.imdb.com//title/tt0331811/
Closer,7.2,2004,Natalie Portman;Jude Law;Clive Owen;Julia Roberts,104,English,https://www.imdb.com//title/tt0376541/
Mean Creek,7.2,2004,Rory Culkin;Ryan Kelley;Scott Mechlowicz;Trevor Morgan,90,English,https://www.imdb.com//title/tt0377091/
Friday Night Lights,7.2,2004,Billy Bob Thornton;Jay Hernandez;Derek Luke;Lucas Black,118,English,https://www.imdb.com//title/tt0390022/
Modigliani,7.2,2004,Andy Garcia;Elsa Zylberstein;Omid Djalili;Hippolyte Girardot,128,English,https://www.imdb.com//title/tt0367188/
Speak,7.2,2004,Kristen Stewart;Elizabeth Perkins;Richard Hagerman;Allison Siko,89,English,https://www.imdb.com//title/tt0378793/
Chandramukhi,7.2,2005,Rajinikanth;Prabhu;Jyotika;Vadivelu,166,Malayalam;Tamil,https://www.imdb.com//title/tt0449869/
Broken Flowers,7.2,2005,Bill Murray;Jessica Lange;Sharon Stone;Julie Delpy,106,English,https://www.imdb.com//title/tt0412019/
Breakfast on Pluto,7.2,2005,Cillian Murphy;Morgan Jones;Eva Birthistle;Liam Neeson,128,English;Irish Gaelic,https://www.imdb.com//title/tt0411195/
Duma,7.2,2005,Alex Michaeletos;Campbell Scott;Hope Davis;Mary Makhatho,100,English,https://www.imdb.com//title/tt0361715/
Tsotsi,7.2,2005,Presley Chweneyagae;Mothusi Magano;Israel Matseke-Zulu;Terry Pheto,95,Zulu;Sotho;Xhosa;Afrikaans;English,https://www.imdb.com//title/tt0468565/
Candy,7.2,2006,Heath Ledger;Abbie Cornish;Geoffrey Rush;Tom Budge,108,English,https://www.imdb.com//title/tt0424880/
Grbavica,7.2,2006,Mirjana Karanovic;Luna Zimic Mijovic;Leon Lucev;Kenan Catic,90,Bosnian,https://www.imdb.com//title/tt0464029/
Death Note - Desu nôto: The Last Name,7.2,2006,Tatsuya Fujiwara;Ken'ichi Matsuyama;Erika Toda;Nana Katase,141,Japanese,https://www.imdb.com//title/tt0810827/
Wristcutters: A Love Story,7.2,2006,Patrick Fugit;Shea Whigham;Tom Waits;Will Arnett,88,English;Russian,https://www.imdb.com//title/tt0477139/
Ha-Buah,7.2,2006,Ohad Knoller;Yousef 'Joe' Sweid;Daniella Wircer;Alon Friedman,117,Hebrew;Arabic;English,https://www.imdb.com//title/tt0476643/
The Mist,7.2,2007,Thomas Jane;Marcia Gay Harden;Laurie Holden;Andre Braugher,126,English,https://www.imdb.com//title/tt0884328/
Mongol,7.2,2007,Tadanobu Asano;Amadu Mamadakov;Khulan Chuluun;Honglei Sun,126,Mongolian;Mandarin,https://www.imdb.com//title/tt0416044/
Molière,7.2,2007,Romain Duris;Fabrice Luchini;Laura Morante;Edouard Baer,120,French,https://www.imdb.com//title/tt0796335/
Bridge to Terabithia,7.2,2007,Josh Hutcherson;AnnaSophia Robb;Zooey Deschanel;Robert Patrick,96,English,https://www.imdb.com//title/tt0398808/
The Hammer,7.2,2007,Adam Carolla;Oswaldo Castillo;Heather Juergensen;Harold House Moore,88,English,https://www.imdb.com//title/tt0814130/
Nothing But the Truth,7.2,2008,Kate Beckinsale;Matt Dillon;Vera Farmiga;Angela Bassett,108,English,https://www.imdb.com//title/tt1073241/
"Definitely, Maybe",7.2,2008,Ryan Reynolds;Rachel Weisz;Abigail Breslin;An Nguyen,112,English,https://www.imdb.com//title/tt0832266/
Defiance,7.2,2008,Daniel Craig;Liev Schreiber;Jamie Bell;Alexa Davalos,137,English;German;Russian,https://www.imdb.com//title/tt1034303/
The Black Balloon,7.2,2008,Rhys Wakefield;Luke Ford;Toni Collette;Erik Thomson,97,English,https://www.imdb.com//title/tt0865297/
The Secret Life of Bees,7.2,2008,Dakota Fanning;Jennifer Hudson;Queen Latifah;Alicia Keys,114,English,https://www.imdb.com//title/tt0416212/
Mother and Child,7.2,2009,Naomi Watts;Annette Bening;Kerry Washington;Alexandria M. Salling,125,English,https://www.imdb.com//title/tt1121977/
The Young Victoria,7.2,2009,Emily Blunt;Rupert Friend;Paul Bettany;Miranda Richardson,105,English;German,https://www.imdb.com//title/tt0962736/
Harry Brown,7.2,2009,Michael Caine;Emily Mortimer;David Bradley;Charlie Creed-Miles,103,English,https://www.imdb.com//title/tt1289406/
The Road,7.2,2009,Viggo Mortensen;Charlize Theron;Kodi Smit-McPhee;Robert Duvall,111,English,https://www.imdb.com//title/tt0898367/
Soul Kitchen,7.2,2009,Adam Bousdoukos;Moritz Bleibtreu;Pheline Roggan;Anna Bederke,99,German;Greek;Spanish;Turkish;English,https://www.imdb.com//title/tt1244668/
The Ghost Writer,7.2,2010,Ewan McGregor;Pierce Brosnan;Olivia Williams;Jon Bernthal,128,English,https://www.imdb.com//title/tt1139328/
Beginners,7.2,2010,Ewan McGregor;Christopher Plummer;Mélanie Laurent;Goran Visnjic,105,English;French,https://www.imdb.com//title/tt1532503/
Des hommes et des dieux,7.2,2010,Lambert Wilson;Michael Lonsdale;Olivier Rabourdin;Philippe Laudenbach,122,French;Arabic,https://www.imdb.com//title/tt1588337/
Le nom des gens,7.2,2010,Sara Forestier;Jacques Gamblin;Zinedine Soualem;Carole Franck,100,French;English;Arabic;Slovak,https://www.imdb.com//title/tt1646974/
Mine vaganti,7.2,2010,Riccardo Scamarcio;Nicole Grimaudo;Alessandro Preziosi;Ennio Fantastichini,110,Italian,https://www.imdb.com//title/tt1405810/
Shame,7.2,2011,Michael Fassbender;Carey Mulligan;James Badge Dale;Lucy Walters,101,English,https://www.imdb.com//title/tt1723811/
Choi-jong-byeong-gi hwal,7.2,2011,Park Hae-il;Seung-ryong Ryu;Mu-Yeol Kim;Moon Chae-Won,122,Korean,https://www.imdb.com//title/tt2025526/
Don 2,7.2,2011,Shah Rukh Khan;Florian Lukas;Om Puri;Priyanka Chopra Jonas,148,Hindi;English;German,https://www.imdb.com//title/tt1285241/
Le Havre,7.2,2011,André Wilms;Blondin Miguel;Jean-Pierre Darroussin;Kati Outinen,93,French,https://www.imdb.com//title/tt1508675/
A Better Life,7.2,2011,Demián Bichir;José Julián;Eddie 'Piolin' Sotelo;Joaquín Cosio,98,English;Spanish,https://www.imdb.com//title/tt1554091/
Barbara,7.2,2012,Nina Hoss;Ronald Zehrfeld;Rainer Bock;Christina Hecke,105,German,https://www.imdb.com//title/tt2178941/
Pitch Perfect,7.2,2012,Anna Kendrick;Brittany Snow;Rebel Wilson;Anna Camp,112,English,https://www.imdb.com//title/tt1981677/
Ruby Sparks,7.2,2012,Paul Dano;Zoe Kazan;Annette Bening;Antonio Banderas,104,English;French,https://www.imdb.com//title/tt1839492/
The Sessions,7.2,2012,John Hawkes;Helen Hunt;William H. Macy;Moon Bloodgood,95,English,https://www.imdb.com//title/tt1866249/
Kon-Tiki,7.2,2012,Pål Sverre Hagen;Anders Baasmo Christiansen;Gustaf Skarsgård;Odd-Magnus Williamson,118,Norwegian;English;French;Swedish;Spanish,https://www.imdb.com//title/tt1613750/
D-Day,7.2,2013,Irrfan Khan;Rishi Kapoor;Arjun Rampal;Shruti Haasan,153,Hindi,https://www.imdb.com//title/tt2385104/
The Croods,7.2,2013,Nicolas Cage;Ryan Reynolds;Emma Stone;Catherine Keener,98,English,https://www.imdb.com//title/tt0481499/
Only Lovers Left Alive,7.2,2013,Tilda Swinton;Tom Hiddleston;Mia Wasikowska;John Hurt,123,English;French;Arabic;Turkish,https://www.imdb.com//title/tt1714915/
La cage dorée,7.2,2013,Rita Blanco;Joaquim de Almeida;Roland Giraud;Chantal Lauby,90,French;Portuguese;English,https://www.imdb.com//title/tt2261749/
Now You See Me,7.2,2013,Jesse Eisenberg;Common;Mark Ruffalo;Woody Harrelson,115,English;French,https://www.imdb.com//title/tt1670345/
Turist,7.2,2014,Johannes Kuhnke;Lisa Loven Kongsli;Clara Wettergren;Vincent Wettergren,120,Swedish;Norwegian;English;French;Italian,https://www.imdb.com//title/tt2121382/
Magical Girl,7.2,2014,José Sacristán;Marina Andruix;Raimundo de los Reyes;Lucía Pollán,127,Spanish,https://www.imdb.com//title/tt3089326/
The Equalizer,7.2,2014,Denzel Washington;Marton Csokas;Chloë Grace Moretz;David Harbour,132,English;Russian;Spanish,https://www.imdb.com//title/tt0455944/
La isla mínima,7.2,2014,Javier Gutiérrez;Raúl Arévalo;María Varod;Perico Cervantes,105,Spanish,https://www.imdb.com//title/tt3253930/
Before I Disappear,7.2,2014,Shawn Christensen;Fatima Ptacek;Emmy Rossum;Paul Wesley,93,English,https://www.imdb.com//title/tt3060492/
Hrútar,7.2,2015,Sigurður Sigurjónsson;Theodór Júlíusson;Charlotte Bøving;Jón Benónýsson,93,Icelandic,https://www.imdb.com//title/tt3296658/
Gabbar Is Back,7.2,2015,Akshay Kumar;Shruti Haasan;Kareena Kapoor;Suman,128,Hindi,https://www.imdb.com//title/tt2424988/
Anomalisa,7.2,2015,David Thewlis;Jennifer Jason Leigh;Tom Noonan,90,English;Italian;Japanese,https://www.imdb.com//title/tt2401878/
NH10,7.2,2015,Anushka Sharma;Neil Bhoopalam;Darshan Kumaar;Deepti Naval,115,Hindi;Haryanvi,https://www.imdb.com//title/tt3742284/
Steve Jobs,7.2,2015,Michael Fassbender;Kate Winslet;Seth Rogen;Jeff Daniels,122,English,https://www.imdb.com//title/tt2080374/
Fan,7.2,2016,Shah Rukh Khan;Shriya Pilgaonkar;Sayani Gupta;Waluscha De Sousa,138,Hindi,https://www.imdb.com//title/tt3495026/
The Light Between Oceans,7.2,2016,Michael Fassbender;Alicia Vikander;Rachel Weisz;Florence Clery,133,English,https://www.imdb.com//title/tt2547584/
Eksi Elmalar,7.2,2016,Yilmaz Erdogan;Farah Zeynep Abdullah;Songül Öden;Sükran Ovali,114,Turkish,https://www.imdb.com//title/tt5985288/
Te3n,7.2,2016,Amitabh Bachchan;Nawazuddin Siddiqui;Vidya Balan;Mukesh Chhabra,136,Hindi,https://www.imdb.com//title/tt4814290/
La pazza gioia,7.2,2016,Valeria Bruni Tedeschi;Micaela Ramazzotti;Valentina Carnelutti;Sergio Albelli,116,Italian;English,https://www.imdb.com//title/tt4621872/
Jai Lava Kusa,7.2,2017,N.T. Rama Rao Jr.;Raashi Khanna;Nivetha Thomas;Ronit Roy,150,Telugu,https://www.imdb.com//title/tt6861726/
Toivon tuolla puolen,7.2,2017,Sherwan Haji;Sakari Kuosmanen;Kaija Pakarinen;Tuomari Nurmio,100,Finnish;English;Arabic;Swedish;Japanese,https://www.imdb.com//title/tt5222918/
Krym,7.1,2017,Roman Kurtsyn;Evgeniya Lapova;Pavel Kraynov;Pavel Trubiner,99,Russian;Ukrainian,https://www.imdb.com//title/tt6990206/
Qarib Qarib Singlle,7.1,2017,Irrfan Khan;Parvathy Thiruvothu;Neha Dhupia;Isha Sharvani,125,Hindi,https://www.imdb.com//title/tt7399470/
Gangcheolbi,7.1,2017,Jung Woo-sung;Kwak Do-won;Kim Kap-su;Eui-sung Kim,139,Korean;Mandarin;English,https://www.imdb.com//title/tt6769508/
Black Mirror: Bandersnatch,7.1,2018,Fionn Whitehead;Craig Parkinson;Alice Lowe;Asim Chaudhry,90,English,https://www.imdb.com//title/tt9495224/
Manyeo,7.1,2018,Kim Da-Mi;Min-soo Jo;Choi Woo-sik;Go Min-Si,125,Korean;English,https://www.imdb.com//title/tt8574252/
Girl,7.1,2018,Victor Polster;Arieh Worthalter;Oliver Bodart;Tijmen Govaerts,105,French;Flemish;English,https://www.imdb.com//title/tt8254556/
Diqiu zuihou de yewan,7.1,2018,Tang Wei;Jue Huang;Sylvia Chang;Hong-Chi Lee,138,Japanese;Mandarin,https://www.imdb.com//title/tt8185182/
Sin-gwa ham-kke: In-gwa yeon,7.1,2018,Ha Jung-woo;Ju Ji-Hoon;Hyang-gi Kim;Ma Dong-seok,142,Korean,https://www.imdb.com//title/tt8116428/
Bad Education,7.1,2019,Hugh Jackman;Ray Romano;Welker White;Allison Janney,108,English,https://www.imdb.com//title/tt8206668/
Il traditore,7.1,2019,Pierfrancesco Favino;Maria Fernanda Cândido;Fabrizio Ferracane;Fausto Russo Alesi,153,Italian;Sicilian;Portuguese;English,https://www.imdb.com//title/tt7736478/
Paddleton,7.1,2019,Christine Woods;Mark Duplass;Ray Romano;Jen Sung,89,English,https://www.imdb.com//title/tt8041276/
Noah Land,7.1,2019,Ali Atay;Haluk Bilginer;Arin Kusaksizoglu;Mehmet Özgür,109,Turkish,https://www.imdb.com//title/tt8090580/
Dronningen,7.1,2019,Trine Dyrholm;Gustav Lindh;Magnus Krepper;Liv Esmår Dannemann,127,Danish;Swedish;English,https://www.imdb.com//title/tt8378126/
