title,rating,year,actors,runtime,url
Full Metal Jacket,8.3,1987,Matthew Modine;R. Lee Ermey;Vincent D'Onofrio;Adam Baldwin,116,https://www.imdb.com//title/tt0093058/
Der Himmel über Berlin,8.0,1987,Bruno Ganz;Solveig Dommartin;Otto Sander;Curt Bois,128,https://www.imdb.com//title/tt0093191/
Khane-ye doust kodjast?,8.1,1987,Babek Ahmed Poor;Ahmed Ahmed Poor;Khodabakhsh Defaei;Iran Outari,83,https://www.imdb.com//title/tt0093342/
Muhsin Bey,8.5,1987,Sener Sen;Ugur Yücel;Sermin Hürmeriç;Osman Cavci,119,https://www.imdb.com//title/tt0184756/
Au revoir les enfants,8.0,1987,Gaspard Manesse;Raphael Fejtö;Francine Racette;Stanislas Carré de Malberg,104,https://www.imdb.com//title/tt0092593/
Nayakan,8.7,1987,Kamal Haasan;Saranya Ponvannan;Delhi Ganesh;Janakaraj,145,https://www.imdb.com//title/tt0093603/
The Untouchables,7.9,1987,Kevin Costner;Sean Connery;Robert De Niro;Charles Martin Smith,119,https://www.imdb.com//title/tt0094226/
Matewan,7.9,1987,Chris Cooper;James Earl Jones;Mary McDonnell;Will Oldham,135,https://www.imdb.com//title/tt0093509/
The Princess Bride,8.1,1987,Cary Elwes;Mandy Patinkin;Robin Wright;Chris Sarandon,98,https://www.imdb.com//title/tt0093779/
Hachikô monogatari,8.1,1987,Tatsuya Nakadai;Kaoru Yachigusa;Toshinori Omi;Toshirô Yanagiba,107,https://www.imdb.com//title/tt0093132/
Nuovo Cinema Paradiso,8.5,1988,Philippe Noiret;Enzo Cannavale;Antonella Attili;Isa Danieli,155,https://www.imdb.com//title/tt0095765/
Die Hard,8.2,1988,Bruce Willis;Alan Rickman;Bonnie Bedelia;Reginald VelJohnson,132,https://www.imdb.com//title/tt0095016/
Chithram,8.6,1988,Mohanlal;Nedumudi Venu;Renjini;Poornam Vishwanathan,159,https://www.imdb.com//title/tt0214585/
Dom za vesanje,8.1,1988,Davor Dujmovic;Bora Todorovic;Ljubica Adzovic;Husnija Hasimovic,142,https://www.imdb.com//title/tt0097223/
Hotaru no haka,8.5,1988,Tsutomu Tatsumi;Ayano Shiraishi;Akemi Yamaguchi;Yoshiko Shinohara,89,https://www.imdb.com//title/tt0095327/
